Fold 1 | Epoch [1/80] | Train Loss: 0.0230 | Val Loss: 0.0310 | R2: -0.8115 | Pearson: -0.0865 | Best Correlation : -0.0865 | Best Epoch : 0
Fold 1 | Epoch [27/80] | Train Loss: 0.0011 | Val Loss: 0.0093 | R2: 0.4568 | Pearson: 0.6868 | Best Correlation : 0.6868 | Best Epoch : 26
Fold 1 | Epoch [28/80] | Train Loss: 0.0012 | Val Loss: 0.0112 | R2: 0.3462 | Pearson: 0.6676 | Best Correlation : 0.6868 | Best Epoch : 26
Fold 1 | Epoch [29/80] | Train Loss: 0.0011 | Val Loss: 0.0089 | R2: 0.4784 | Pearson: 0.6924 | Best Correlation : 0.6924 | Best Epoch : 28
Fold 1 | Epoch [30/80] | Train Loss: 0.0011 | Val Loss: 0.0114 | R2: 0.3317 | Pearson: 0.5944 | Best Correlation : 0.6924 | Best Epoch : 28
Fold 1 | Epoch [31/80] | Train Loss: 0.0010 | Val Loss: 0.0097 | R2: 0.4396 | Pearson: 0.6936 | Best Correlation : 0.6936 | Best Epoch : 30
Fold 1 | Epoch [32/80] | Train Loss: 0.0009 | Val Loss: 0.0086 | R2: 0.5006 | Pearson: 0.7075 | Best Correlation : 0.7075 | Best Epoch : 31
Fold 1 | Epoch [33/80] | Train Loss: 0.0009 | Val Loss: 0.0090 | R2: 0.4741 | Pearson: 0.7243 | Best Correlation : 0.7243 | Best Epoch : 32
Fold 1 | Epoch [34/80] | Train Loss: 0.0007 | Val Loss: 0.0090 | R2: 0.4870 | Pearson: 0.6984 | Best Correlation : 0.7243 | Best Epoch : 32
Fold 1 | Epoch [35/80] | Train Loss: 0.0007 | Val Loss: 0.0083 | R2: 0.5151 | Pearson: 0.7224 | Best Correlation : 0.7243 | Best Epoch : 32
Fold 1 | Epoch [36/80] | Train Loss: 0.0006 | Val Loss: 0.0085 | R2: 0.5016 | Pearson: 0.7193 | Best Correlation : 0.7243 | Best Epoch : 32
Fold 1 | Epoch [37/80] | Train Loss: 0.0006 | Val Loss: 0.0081 | R2: 0.5242 | Pearson: 0.7257 | Best Correlation : 0.7257 | Best Epoch : 36
Fold 1 | Epoch [38/80] | Train Loss: 0.0006 | Val Loss: 0.0090 | R2: 0.4729 | Pearson: 0.7023 | Best Correlation : 0.7257 | Best Epoch : 36
Fold 1 | Epoch [39/80] | Train Loss: 0.0005 | Val Loss: 0.0084 | R2: 0.5071 | Pearson: 0.7211 | Best Correlation : 0.7257 | Best Epoch : 36
Fold 1 | Epoch [40/80] | Train Loss: 0.0005 | Val Loss: 0.0082 | R2: 0.5196 | Pearson: 0.7225 | Best Correlation : 0.7257 | Best Epoch : 36
Fold 1 | Epoch [41/80] | Train Loss: 0.0005 | Val Loss: 0.0084 | R2: 0.5083 | Pearson: 0.7142 | Best Correlation : 0.7257 | Best Epoch : 36
Fold 1 | Epoch [42/80] | Train Loss: 0.0005 | Val Loss: 0.0086 | R2: 0.4933 | Pearson: 0.7060 | Best Correlation : 0.7257 | Best Epoch : 36
Fold 1 | Epoch [43/80] | Train Loss: 0.0004 | Val Loss: 0.0079 | R2: 0.5377 | Pearson: 0.7346 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [44/80] | Train Loss: 0.0004 | Val Loss: 0.0087 | R2: 0.4950 | Pearson: 0.7088 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [45/80] | Train Loss: 0.0003 | Val Loss: 0.0084 | R2: 0.5080 | Pearson: 0.7255 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [46/80] | Train Loss: 0.0004 | Val Loss: 0.0087 | R2: 0.4876 | Pearson: 0.7164 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [47/80] | Train Loss: 0.0003 | Val Loss: 0.0081 | R2: 0.5262 | Pearson: 0.7298 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [48/80] | Train Loss: 0.0003 | Val Loss: 0.0082 | R2: 0.5158 | Pearson: 0.7203 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [49/80] | Train Loss: 0.0003 | Val Loss: 0.0082 | R2: 0.5235 | Pearson: 0.7253 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [50/80] | Train Loss: 0.0002 | Val Loss: 0.0081 | R2: 0.5249 | Pearson: 0.7278 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [51/80] | Train Loss: 0.0002 | Val Loss: 0.0083 | R2: 0.5195 | Pearson: 0.7267 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [52/80] | Train Loss: 0.0002 | Val Loss: 0.0083 | R2: 0.5165 | Pearson: 0.7256 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [53/80] | Train Loss: 0.0002 | Val Loss: 0.0081 | R2: 0.5298 | Pearson: 0.7311 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [54/80] | Train Loss: 0.0002 | Val Loss: 0.0088 | R2: 0.4917 | Pearson: 0.7119 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [55/80] | Train Loss: 0.0002 | Val Loss: 0.0081 | R2: 0.5222 | Pearson: 0.7270 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [56/80] | Train Loss: 0.0002 | Val Loss: 0.0082 | R2: 0.5206 | Pearson: 0.7257 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [57/80] | Train Loss: 0.0002 | Val Loss: 0.0081 | R2: 0.5249 | Pearson: 0.7288 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [58/80] | Train Loss: 0.0001 | Val Loss: 0.0081 | R2: 0.5273 | Pearson: 0.7297 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [59/80] | Train Loss: 0.0001 | Val Loss: 0.0081 | R2: 0.5246 | Pearson: 0.7292 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [60/80] | Train Loss: 0.0001 | Val Loss: 0.0081 | R2: 0.5261 | Pearson: 0.7272 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [61/80] | Train Loss: 0.0001 | Val Loss: 0.0081 | R2: 0.5294 | Pearson: 0.7320 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [62/80] | Train Loss: 0.0001 | Val Loss: 0.0081 | R2: 0.5253 | Pearson: 0.7301 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [63/80] | Train Loss: 0.0001 | Val Loss: 0.0080 | R2: 0.5339 | Pearson: 0.7330 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [64/80] | Train Loss: 0.0001 | Val Loss: 0.0080 | R2: 0.5296 | Pearson: 0.7315 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [65/80] | Train Loss: 0.0001 | Val Loss: 0.0083 | R2: 0.5231 | Pearson: 0.7265 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [66/80] | Train Loss: 0.0001 | Val Loss: 0.0086 | R2: 0.5272 | Pearson: 0.7310 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [67/80] | Train Loss: 0.0001 | Val Loss: 0.0080 | R2: 0.5312 | Pearson: 0.7324 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [68/80] | Train Loss: 0.0001 | Val Loss: 0.0081 | R2: 0.5244 | Pearson: 0.7284 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [69/80] | Train Loss: 0.0001 | Val Loss: 0.0081 | R2: 0.5257 | Pearson: 0.7293 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [70/80] | Train Loss: 0.0001 | Val Loss: 0.0081 | R2: 0.5271 | Pearson: 0.7299 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [71/80] | Train Loss: 0.0001 | Val Loss: 0.0080 | R2: 0.5280 | Pearson: 0.7303 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [72/80] | Train Loss: 0.0000 | Val Loss: 0.0081 | R2: 0.5270 | Pearson: 0.7299 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [73/80] | Train Loss: 0.0000 | Val Loss: 0.0080 | R2: 0.5324 | Pearson: 0.7330 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [74/80] | Train Loss: 0.0000 | Val Loss: 0.0081 | R2: 0.5283 | Pearson: 0.7312 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [75/80] | Train Loss: 0.0000 | Val Loss: 0.0081 | R2: 0.5283 | Pearson: 0.7305 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [76/80] | Train Loss: 0.0000 | Val Loss: 0.0081 | R2: 0.5265 | Pearson: 0.7297 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [77/80] | Train Loss: 0.0000 | Val Loss: 0.0081 | R2: 0.5257 | Pearson: 0.7283 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [78/80] | Train Loss: 0.0000 | Val Loss: 0.0081 | R2: 0.5303 | Pearson: 0.7320 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [79/80] | Train Loss: 0.0000 | Val Loss: 0.0082 | R2: 0.5250 | Pearson: 0.7282 | Best Correlation : 0.7346 | Best Epoch : 42
Fold 1 | Epoch [80/80] | Train Loss: 0.0000 | Val Loss: 0.0081 | R2: 0.5258 | Pearson: 0.7292 | Best Correlation : 0.7346 | Best Epoch : 42
