Fold 4 | Epoch [1/80] | Train Loss: 0.0222 | Val Loss: 0.0180 | R2: 0.0140 | Pearson: 0.2385 | Best Correlation : 0.2385 | Best Epoch : 0
Fold 4 | Epoch [23/80] | Train Loss: 0.0020 | Val Loss: 0.0118 | R2: 0.3522 | Pearson: 0.6639 | Best Correlation : 0.6778 | Best Epoch : 21
Fold 4 | Epoch [24/80] | Train Loss: 0.0014 | Val Loss: 0.0097 | R2: 0.4687 | Pearson: 0.6851 | Best Correlation : 0.6851 | Best Epoch : 23
Fold 4 | Epoch [25/80] | Train Loss: 0.0013 | Val Loss: 0.0110 | R2: 0.3963 | Pearson: 0.6713 | Best Correlation : 0.6851 | Best Epoch : 23
Fold 4 | Epoch [26/80] | Train Loss: 0.0011 | Val Loss: 0.0137 | R2: 0.2498 | Pearson: 0.5113 | Best Correlation : 0.6851 | Best Epoch : 23
Fold 4 | Epoch [27/80] | Train Loss: 0.0011 | Val Loss: 0.0104 | R2: 0.4310 | Pearson: 0.6586 | Best Correlation : 0.6851 | Best Epoch : 23
Fold 4 | Epoch [28/80] | Train Loss: 0.0010 | Val Loss: 0.0105 | R2: 0.4235 | Pearson: 0.6678 | Best Correlation : 0.6851 | Best Epoch : 23
Fold 4 | Epoch [29/80] | Train Loss: 0.0010 | Val Loss: 0.0098 | R2: 0.4638 | Pearson: 0.6825 | Best Correlation : 0.6851 | Best Epoch : 23
Fold 4 | Epoch [30/80] | Train Loss: 0.0009 | Val Loss: 0.0101 | R2: 0.4503 | Pearson: 0.6776 | Best Correlation : 0.6851 | Best Epoch : 23
Fold 4 | Epoch [31/80] | Train Loss: 0.0008 | Val Loss: 0.0096 | R2: 0.4793 | Pearson: 0.6924 | Best Correlation : 0.6924 | Best Epoch : 30
Fold 4 | Epoch [32/80] | Train Loss: 0.0007 | Val Loss: 0.0133 | R2: 0.2732 | Pearson: 0.6001 | Best Correlation : 0.6924 | Best Epoch : 30
Fold 4 | Epoch [33/80] | Train Loss: 0.0008 | Val Loss: 0.0100 | R2: 0.4520 | Pearson: 0.6827 | Best Correlation : 0.6924 | Best Epoch : 30
Fold 4 | Epoch [34/80] | Train Loss: 0.0007 | Val Loss: 0.0103 | R2: 0.4380 | Pearson: 0.6840 | Best Correlation : 0.6924 | Best Epoch : 30
Fold 4 | Epoch [35/80] | Train Loss: 0.0007 | Val Loss: 0.0100 | R2: 0.4545 | Pearson: 0.6786 | Best Correlation : 0.6924 | Best Epoch : 30
Fold 4 | Epoch [36/80] | Train Loss: 0.0006 | Val Loss: 0.0097 | R2: 0.4677 | Pearson: 0.6863 | Best Correlation : 0.6924 | Best Epoch : 30
Fold 4 | Epoch [37/80] | Train Loss: 0.0006 | Val Loss: 0.0099 | R2: 0.4606 | Pearson: 0.6810 | Best Correlation : 0.6924 | Best Epoch : 30
Fold 4 | Epoch [38/80] | Train Loss: 0.0005 | Val Loss: 0.0092 | R2: 0.4989 | Pearson: 0.7074 | Best Correlation : 0.7074 | Best Epoch : 37
Fold 4 | Epoch [39/80] | Train Loss: 0.0005 | Val Loss: 0.0098 | R2: 0.4749 | Pearson: 0.6947 | Best Correlation : 0.7074 | Best Epoch : 37
Fold 4 | Epoch [40/80] | Train Loss: 0.0005 | Val Loss: 0.0100 | R2: 0.4541 | Pearson: 0.6868 | Best Correlation : 0.7074 | Best Epoch : 37
Fold 4 | Epoch [41/80] | Train Loss: 0.0004 | Val Loss: 0.0105 | R2: 0.4252 | Pearson: 0.6714 | Best Correlation : 0.7074 | Best Epoch : 37
Fold 4 | Epoch [42/80] | Train Loss: 0.0004 | Val Loss: 0.0097 | R2: 0.4744 | Pearson: 0.6965 | Best Correlation : 0.7074 | Best Epoch : 37
Fold 4 | Epoch [43/80] | Train Loss: 0.0004 | Val Loss: 0.0095 | R2: 0.4799 | Pearson: 0.7014 | Best Correlation : 0.7074 | Best Epoch : 37
Fold 4 | Epoch [44/80] | Train Loss: 0.0003 | Val Loss: 0.0095 | R2: 0.4843 | Pearson: 0.7018 | Best Correlation : 0.7074 | Best Epoch : 37
Fold 4 | Epoch [45/80] | Train Loss: 0.0003 | Val Loss: 0.0095 | R2: 0.4816 | Pearson: 0.6997 | Best Correlation : 0.7074 | Best Epoch : 37
Fold 4 | Epoch [46/80] | Train Loss: 0.0003 | Val Loss: 0.0093 | R2: 0.4927 | Pearson: 0.7062 | Best Correlation : 0.7074 | Best Epoch : 37
Fold 4 | Epoch [47/80] | Train Loss: 0.0003 | Val Loss: 0.0097 | R2: 0.4701 | Pearson: 0.6927 | Best Correlation : 0.7074 | Best Epoch : 37
Fold 4 | Epoch [48/80] | Train Loss: 0.0003 | Val Loss: 0.0096 | R2: 0.4824 | Pearson: 0.7017 | Best Correlation : 0.7074 | Best Epoch : 37
Fold 4 | Epoch [49/80] | Train Loss: 0.0002 | Val Loss: 0.0094 | R2: 0.4878 | Pearson: 0.7058 | Best Correlation : 0.7074 | Best Epoch : 37
Fold 4 | Epoch [50/80] | Train Loss: 0.0002 | Val Loss: 0.0096 | R2: 0.4752 | Pearson: 0.6969 | Best Correlation : 0.7074 | Best Epoch : 37
Fold 4 | Epoch [51/80] | Train Loss: 0.0002 | Val Loss: 0.0093 | R2: 0.4928 | Pearson: 0.7132 | Best Correlation : 0.7132 | Best Epoch : 50
Fold 4 | Epoch [52/80] | Train Loss: 0.0002 | Val Loss: 0.0093 | R2: 0.4923 | Pearson: 0.7126 | Best Correlation : 0.7132 | Best Epoch : 50
Fold 4 | Epoch [53/80] | Train Loss: 0.0002 | Val Loss: 0.0095 | R2: 0.4773 | Pearson: 0.7007 | Best Correlation : 0.7132 | Best Epoch : 50
Fold 4 | Epoch [54/80] | Train Loss: 0.0001 | Val Loss: 0.0097 | R2: 0.4876 | Pearson: 0.7077 | Best Correlation : 0.7132 | Best Epoch : 50
Fold 4 | Epoch [55/80] | Train Loss: 0.0001 | Val Loss: 0.0093 | R2: 0.4910 | Pearson: 0.7085 | Best Correlation : 0.7132 | Best Epoch : 50
Fold 4 | Epoch [56/80] | Train Loss: 0.0001 | Val Loss: 0.0095 | R2: 0.4799 | Pearson: 0.7015 | Best Correlation : 0.7132 | Best Epoch : 50
Fold 4 | Epoch [57/80] | Train Loss: 0.0001 | Val Loss: 0.0093 | R2: 0.5006 | Pearson: 0.7177 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [58/80] | Train Loss: 0.0001 | Val Loss: 0.0092 | R2: 0.4940 | Pearson: 0.7120 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [59/80] | Train Loss: 0.0001 | Val Loss: 0.0094 | R2: 0.4850 | Pearson: 0.7074 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [60/80] | Train Loss: 0.0001 | Val Loss: 0.0094 | R2: 0.4830 | Pearson: 0.7057 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [61/80] | Train Loss: 0.0001 | Val Loss: 0.0095 | R2: 0.4883 | Pearson: 0.7093 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [62/80] | Train Loss: 0.0001 | Val Loss: 0.0094 | R2: 0.4880 | Pearson: 0.7090 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [63/80] | Train Loss: 0.0001 | Val Loss: 0.0092 | R2: 0.4977 | Pearson: 0.7155 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [64/80] | Train Loss: 0.0001 | Val Loss: 0.0095 | R2: 0.4769 | Pearson: 0.6998 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [65/80] | Train Loss: 0.0001 | Val Loss: 0.0094 | R2: 0.4857 | Pearson: 0.7077 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [66/80] | Train Loss: 0.0001 | Val Loss: 0.0093 | R2: 0.4887 | Pearson: 0.7103 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [67/80] | Train Loss: 0.0001 | Val Loss: 0.0093 | R2: 0.4876 | Pearson: 0.7101 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [68/80] | Train Loss: 0.0001 | Val Loss: 0.0093 | R2: 0.4912 | Pearson: 0.7106 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [69/80] | Train Loss: 0.0001 | Val Loss: 0.0093 | R2: 0.4918 | Pearson: 0.7133 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [70/80] | Train Loss: 0.0000 | Val Loss: 0.0095 | R2: 0.4845 | Pearson: 0.7072 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [71/80] | Train Loss: 0.0000 | Val Loss: 0.0093 | R2: 0.4901 | Pearson: 0.7114 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [72/80] | Train Loss: 0.0000 | Val Loss: 0.0094 | R2: 0.4915 | Pearson: 0.7124 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [73/80] | Train Loss: 0.0000 | Val Loss: 0.0094 | R2: 0.4872 | Pearson: 0.7100 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [74/80] | Train Loss: 0.0000 | Val Loss: 0.0095 | R2: 0.4899 | Pearson: 0.7126 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [75/80] | Train Loss: 0.0000 | Val Loss: 0.0094 | R2: 0.4879 | Pearson: 0.7105 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [76/80] | Train Loss: 0.0000 | Val Loss: 0.0093 | R2: 0.4905 | Pearson: 0.7108 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [77/80] | Train Loss: 0.0000 | Val Loss: 0.0095 | R2: 0.4880 | Pearson: 0.7106 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [78/80] | Train Loss: 0.0000 | Val Loss: 0.0093 | R2: 0.4883 | Pearson: 0.7104 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [79/80] | Train Loss: 0.0000 | Val Loss: 0.0094 | R2: 0.4853 | Pearson: 0.7081 | Best Correlation : 0.7177 | Best Epoch : 56
Fold 4 | Epoch [80/80] | Train Loss: 0.0000 | Val Loss: 0.0093 | R2: 0.4887 | Pearson: 0.7106 | Best Correlation : 0.7177 | Best Epoch : 56
