Fold 2 | Epoch [1/150] | Train Loss: 0.0631 | Val Loss: 0.0580 | R2: -2.3767 | Pearson: -0.0176
Fold 2 | Epoch [30/150] | Train Loss: 0.0031 | Val Loss: 0.0173 | R2: -0.0080 | Pearson: 0.3577
Fold 2 | Epoch [31/150] | Train Loss: 0.0029 | Val Loss: 0.0168 | R2: 0.0348 | Pearson: 0.3861
Fold 2 | Epoch [32/150] | Train Loss: 0.0025 | Val Loss: 0.0162 | R2: 0.0630 | Pearson: 0.3983
Fold 2 | Epoch [33/150] | Train Loss: 0.0022 | Val Loss: 0.0270 | R2: -0.5628 | Pearson: 0.2894
Fold 2 | Epoch [34/150] | Train Loss: 0.0017 | Val Loss: 0.0159 | R2: 0.0816 | Pearson: 0.3844
Fold 2 | Epoch [35/150] | Train Loss: 0.0018 | Val Loss: 0.0149 | R2: 0.1370 | Pearson: 0.4288
Fold 2 | Epoch [36/150] | Train Loss: 0.0018 | Val Loss: 0.0557 | R2: -2.2221 | Pearson: 0.0948
Fold 2 | Epoch [37/150] | Train Loss: 0.0019 | Val Loss: 0.0200 | R2: -0.1656 | Pearson: 0.1990
Fold 2 | Epoch [38/150] | Train Loss: 0.0014 | Val Loss: 0.0164 | R2: 0.0593 | Pearson: 0.4364
Fold 2 | Epoch [39/150] | Train Loss: 0.0017 | Val Loss: 0.0147 | R2: 0.1464 | Pearson: 0.4122
Fold 2 | Epoch [40/150] | Train Loss: 0.0014 | Val Loss: 0.0135 | R2: 0.2142 | Pearson: 0.4878
Fold 2 | Epoch [41/150] | Train Loss: 0.0021 | Val Loss: 0.0149 | R2: 0.1370 | Pearson: 0.4163
Fold 2 | Epoch [42/150] | Train Loss: 0.0021 | Val Loss: 0.0219 | R2: -0.2705 | Pearson: 0.3285
Fold 2 | Epoch [43/150] | Train Loss: 0.0019 | Val Loss: 0.0254 | R2: -0.4646 | Pearson: 0.1134
Fold 2 | Epoch [44/150] | Train Loss: 0.0025 | Val Loss: 0.0636 | R2: -2.7019 | Pearson: 0.0921
Fold 2 | Epoch [45/150] | Train Loss: 0.0019 | Val Loss: 0.0170 | R2: 0.0193 | Pearson: 0.3647
Fold 2 | Epoch [46/150] | Train Loss: 0.0017 | Val Loss: 0.0149 | R2: 0.1396 | Pearson: 0.4196
Fold 2 | Epoch [47/150] | Train Loss: 0.0014 | Val Loss: 0.0150 | R2: 0.1436 | Pearson: 0.4240
Fold 2 | Epoch [48/150] | Train Loss: 0.0015 | Val Loss: 0.0174 | R2: -0.0108 | Pearson: 0.2857
Fold 2 | Epoch [49/150] | Train Loss: 0.0014 | Val Loss: 0.0145 | R2: 0.1631 | Pearson: 0.4427
Fold 2 | Epoch [50/150] | Train Loss: 0.0015 | Val Loss: 0.0141 | R2: 0.1854 | Pearson: 0.4784
Fold 2 | Epoch [51/150] | Train Loss: 0.0014 | Val Loss: 0.0146 | R2: 0.1573 | Pearson: 0.4385
Fold 2 | Epoch [52/150] | Train Loss: 0.0014 | Val Loss: 0.0428 | R2: -1.4838 | Pearson: 0.1583
Fold 2 | Epoch [53/150] | Train Loss: 0.0018 | Val Loss: 0.0252 | R2: -0.4629 | Pearson: 0.2920
Fold 2 | Epoch [54/150] | Train Loss: 0.0023 | Val Loss: 0.0168 | R2: 0.0252 | Pearson: 0.3823
Fold 2 | Epoch [55/150] | Train Loss: 0.0015 | Val Loss: 0.0183 | R2: -0.0657 | Pearson: 0.4117
Fold 2 | Epoch [56/150] | Train Loss: 0.0010 | Val Loss: 0.0187 | R2: -0.0834 | Pearson: 0.2579
Fold 2 | Epoch [57/150] | Train Loss: 0.0010 | Val Loss: 0.0158 | R2: 0.0846 | Pearson: 0.4245
Fold 2 | Epoch [58/150] | Train Loss: 0.0010 | Val Loss: 0.0168 | R2: 0.0220 | Pearson: 0.3614
Fold 2 | Epoch [59/150] | Train Loss: 0.0008 | Val Loss: 0.0185 | R2: -0.0742 | Pearson: 0.2285
Fold 2 | Epoch [60/150] | Train Loss: 0.0011 | Val Loss: 0.0145 | R2: 0.1634 | Pearson: 0.4608
Fold 2 | Epoch [61/150] | Train Loss: 0.0014 | Val Loss: 0.0182 | R2: -0.0610 | Pearson: 0.3762
Fold 2 | Epoch [62/150] | Train Loss: 0.0014 | Val Loss: 0.0137 | R2: 0.2021 | Pearson: 0.4792
Fold 2 | Epoch [63/150] | Train Loss: 0.0012 | Val Loss: 0.0172 | R2: 0.0097 | Pearson: 0.3743
Fold 2 | Epoch [64/150] | Train Loss: 0.0014 | Val Loss: 0.0194 | R2: -0.1313 | Pearson: 0.3832
Fold 2 | Epoch [65/150] | Train Loss: 0.0010 | Val Loss: 0.0245 | R2: -0.4213 | Pearson: 0.1489
Fold 2 | Epoch [66/150] | Train Loss: 0.0010 | Val Loss: 0.0131 | R2: 0.2402 | Pearson: 0.4976
Fold 2 | Epoch [67/150] | Train Loss: 0.0010 | Val Loss: 0.0153 | R2: 0.1106 | Pearson: 0.4398
Fold 2 | Epoch [68/150] | Train Loss: 0.0010 | Val Loss: 0.0134 | R2: 0.2224 | Pearson: 0.4947
Fold 2 | Epoch [69/150] | Train Loss: 0.0009 | Val Loss: 0.0135 | R2: 0.2198 | Pearson: 0.4973
Fold 2 | Epoch [70/150] | Train Loss: 0.0011 | Val Loss: 0.0133 | R2: 0.2266 | Pearson: 0.4926
Fold 2 | Epoch [71/150] | Train Loss: 0.0009 | Val Loss: 0.0166 | R2: 0.0399 | Pearson: 0.3266
Fold 2 | Epoch [72/150] | Train Loss: 0.0009 | Val Loss: 0.0152 | R2: 0.1177 | Pearson: 0.4370
Fold 2 | Epoch [73/150] | Train Loss: 0.0010 | Val Loss: 0.0222 | R2: -0.2912 | Pearson: 0.3219
Fold 2 | Epoch [74/150] | Train Loss: 0.0009 | Val Loss: 0.0136 | R2: 0.2093 | Pearson: 0.4863
Fold 2 | Epoch [75/150] | Train Loss: 0.0013 | Val Loss: 0.0171 | R2: 0.0140 | Pearson: 0.3654
Fold 2 | Epoch [76/150] | Train Loss: 0.0015 | Val Loss: 0.0171 | R2: 0.0081 | Pearson: 0.3873
Fold 2 | Epoch [77/150] | Train Loss: 0.0009 | Val Loss: 0.0137 | R2: 0.2025 | Pearson: 0.4680
Fold 2 | Epoch [78/150] | Train Loss: 0.0013 | Val Loss: 0.0144 | R2: 0.1700 | Pearson: 0.4526
Fold 2 | Epoch [79/150] | Train Loss: 0.0015 | Val Loss: 0.0159 | R2: 0.0751 | Pearson: 0.3999
Fold 2 | Epoch [80/150] | Train Loss: 0.0010 | Val Loss: 0.0151 | R2: 0.1260 | Pearson: 0.3898
Fold 2 | Epoch [81/150] | Train Loss: 0.0011 | Val Loss: 0.0425 | R2: -1.4573 | Pearson: 0.1352
Fold 2 | Epoch [82/150] | Train Loss: 0.0011 | Val Loss: 0.0170 | R2: 0.0144 | Pearson: 0.2740
Fold 2 | Epoch [83/150] | Train Loss: 0.0017 | Val Loss: 0.0189 | R2: -0.1042 | Pearson: 0.3825
Fold 2 | Epoch [84/150] | Train Loss: 0.0012 | Val Loss: 0.0136 | R2: 0.2070 | Pearson: 0.4770
Fold 2 | Epoch [85/150] | Train Loss: 0.0010 | Val Loss: 0.0143 | R2: 0.1756 | Pearson: 0.4389
Fold 2 | Epoch [86/150] | Train Loss: 0.0008 | Val Loss: 0.0164 | R2: 0.0461 | Pearson: 0.3985
Fold 2 | Epoch [87/150] | Train Loss: 0.0009 | Val Loss: 0.0130 | R2: 0.2452 | Pearson: 0.5017
Fold 2 | Epoch [88/150] | Train Loss: 0.0009 | Val Loss: 0.0154 | R2: 0.1097 | Pearson: 0.3626
Fold 2 | Epoch [89/150] | Train Loss: 0.0010 | Val Loss: 0.0175 | R2: -0.0140 | Pearson: 0.4086
Fold 2 | Epoch [90/150] | Train Loss: 0.0012 | Val Loss: 0.0143 | R2: 0.1754 | Pearson: 0.4395
Fold 2 | Epoch [91/150] | Train Loss: 0.0008 | Val Loss: 0.0150 | R2: 0.1311 | Pearson: 0.4223
Fold 2 | Epoch [92/150] | Train Loss: 0.0008 | Val Loss: 0.0136 | R2: 0.2140 | Pearson: 0.4729
Fold 2 | Epoch [93/150] | Train Loss: 0.0011 | Val Loss: 0.0150 | R2: 0.1299 | Pearson: 0.4695
Fold 2 | Epoch [94/150] | Train Loss: 0.0008 | Val Loss: 0.0137 | R2: 0.2012 | Pearson: 0.4846
Fold 2 | Epoch [95/150] | Train Loss: 0.0006 | Val Loss: 0.0144 | R2: 0.1654 | Pearson: 0.4236
Fold 2 | Epoch [96/150] | Train Loss: 0.0005 | Val Loss: 0.0130 | R2: 0.2480 | Pearson: 0.5063
Fold 2 | Epoch [97/150] | Train Loss: 0.0005 | Val Loss: 0.0127 | R2: 0.2615 | Pearson: 0.5181
Fold 2 | Epoch [98/150] | Train Loss: 0.0009 | Val Loss: 0.0142 | R2: 0.1836 | Pearson: 0.4447
Fold 2 | Epoch [99/150] | Train Loss: 0.0008 | Val Loss: 0.0131 | R2: 0.2368 | Pearson: 0.4987
Fold 2 | Epoch [100/150] | Train Loss: 0.0010 | Val Loss: 0.0131 | R2: 0.2406 | Pearson: 0.4957
Fold 2 | Epoch [101/150] | Train Loss: 0.0010 | Val Loss: 0.0131 | R2: 0.2393 | Pearson: 0.5055
Fold 2 | Epoch [102/150] | Train Loss: 0.0008 | Val Loss: 0.0132 | R2: 0.2342 | Pearson: 0.4984
Fold 2 | Epoch [103/150] | Train Loss: 0.0007 | Val Loss: 0.0132 | R2: 0.2286 | Pearson: 0.5015
Fold 2 | Epoch [104/150] | Train Loss: 0.0010 | Val Loss: 0.0137 | R2: 0.2112 | Pearson: 0.4913
Fold 2 | Epoch [105/150] | Train Loss: 0.0006 | Val Loss: 0.0134 | R2: 0.2285 | Pearson: 0.4993
Fold 2 | Epoch [106/150] | Train Loss: 0.0010 | Val Loss: 0.0130 | R2: 0.2439 | Pearson: 0.5010
Fold 2 | Epoch [107/150] | Train Loss: 0.0006 | Val Loss: 0.0137 | R2: 0.2098 | Pearson: 0.4860
Fold 2 | Epoch [108/150] | Train Loss: 0.0012 | Val Loss: 0.0153 | R2: 0.1193 | Pearson: 0.3709
Fold 2 | Epoch [109/150] | Train Loss: 0.0009 | Val Loss: 0.0132 | R2: 0.2303 | Pearson: 0.4965
Fold 2 | Epoch [110/150] | Train Loss: 0.0007 | Val Loss: 0.0129 | R2: 0.2498 | Pearson: 0.5115
Fold 2 | Epoch [111/150] | Train Loss: 0.0006 | Val Loss: 0.0130 | R2: 0.2503 | Pearson: 0.5068
Fold 2 | Epoch [112/150] | Train Loss: 0.0007 | Val Loss: 0.0139 | R2: 0.1860 | Pearson: 0.4483
Fold 2 | Epoch [113/150] | Train Loss: 0.0007 | Val Loss: 0.0130 | R2: 0.2466 | Pearson: 0.5106
Fold 2 | Epoch [114/150] | Train Loss: 0.0007 | Val Loss: 0.0125 | R2: 0.2742 | Pearson: 0.5264
Fold 2 | Epoch [115/150] | Train Loss: 0.0011 | Val Loss: 0.0125 | R2: 0.2732 | Pearson: 0.5275
Fold 2 | Epoch [116/150] | Train Loss: 0.0009 | Val Loss: 0.0132 | R2: 0.2325 | Pearson: 0.4904
Fold 2 | Epoch [117/150] | Train Loss: 0.0005 | Val Loss: 0.0129 | R2: 0.2511 | Pearson: 0.5068
Fold 2 | Epoch [118/150] | Train Loss: 0.0009 | Val Loss: 0.0126 | R2: 0.2649 | Pearson: 0.5214
Fold 2 | Epoch [119/150] | Train Loss: 0.0005 | Val Loss: 0.0130 | R2: 0.2499 | Pearson: 0.5057
Fold 2 | Epoch [120/150] | Train Loss: 0.0040 | Val Loss: 0.0135 | R2: 0.2159 | Pearson: 0.4749
Fold 2 | Epoch [121/150] | Train Loss: 0.0006 | Val Loss: 0.0133 | R2: 0.2373 | Pearson: 0.5046
Fold 2 | Epoch [122/150] | Train Loss: 0.0006 | Val Loss: 0.0129 | R2: 0.2531 | Pearson: 0.5127
Fold 2 | Epoch [123/150] | Train Loss: 0.0005 | Val Loss: 0.0128 | R2: 0.2598 | Pearson: 0.5168
Fold 2 | Epoch [124/150] | Train Loss: 0.0006 | Val Loss: 0.0126 | R2: 0.2651 | Pearson: 0.5182
Fold 2 | Epoch [125/150] | Train Loss: 0.0007 | Val Loss: 0.0127 | R2: 0.2698 | Pearson: 0.5231
Fold 2 | Epoch [126/150] | Train Loss: 0.0005 | Val Loss: 0.0133 | R2: 0.2320 | Pearson: 0.4883
Fold 2 | Epoch [127/150] | Train Loss: 0.0007 | Val Loss: 0.0128 | R2: 0.2542 | Pearson: 0.5160
Fold 2 | Epoch [128/150] | Train Loss: 0.0005 | Val Loss: 0.0129 | R2: 0.2508 | Pearson: 0.5065
Fold 2 | Epoch [129/150] | Train Loss: 0.0004 | Val Loss: 0.0129 | R2: 0.2500 | Pearson: 0.5086
Fold 2 | Epoch [130/150] | Train Loss: 0.0005 | Val Loss: 0.0127 | R2: 0.2572 | Pearson: 0.5186
Fold 2 | Epoch [131/150] | Train Loss: 0.0006 | Val Loss: 0.0129 | R2: 0.2520 | Pearson: 0.5055
Fold 2 | Epoch [132/150] | Train Loss: 0.0007 | Val Loss: 0.0127 | R2: 0.2616 | Pearson: 0.5196
Fold 2 | Epoch [133/150] | Train Loss: 0.0004 | Val Loss: 0.0126 | R2: 0.2641 | Pearson: 0.5186
Fold 2 | Epoch [134/150] | Train Loss: 0.0005 | Val Loss: 0.0129 | R2: 0.2523 | Pearson: 0.5074
Fold 2 | Epoch [135/150] | Train Loss: 0.0004 | Val Loss: 0.0127 | R2: 0.2587 | Pearson: 0.5144
Fold 2 | Epoch [136/150] | Train Loss: 0.0007 | Val Loss: 0.0127 | R2: 0.2640 | Pearson: 0.5186
Fold 2 | Epoch [137/150] | Train Loss: 0.0005 | Val Loss: 0.0126 | R2: 0.2627 | Pearson: 0.5159
Fold 2 | Epoch [138/150] | Train Loss: 0.0009 | Val Loss: 0.0129 | R2: 0.2527 | Pearson: 0.5162
Fold 2 | Epoch [139/150] | Train Loss: 0.0005 | Val Loss: 0.0129 | R2: 0.2547 | Pearson: 0.5112
Fold 2 | Epoch [140/150] | Train Loss: 0.0006 | Val Loss: 0.0127 | R2: 0.2694 | Pearson: 0.5223
Fold 2 | Epoch [141/150] | Train Loss: 0.0005 | Val Loss: 0.0128 | R2: 0.2569 | Pearson: 0.5153
Fold 2 | Epoch [142/150] | Train Loss: 0.0006 | Val Loss: 0.0127 | R2: 0.2683 | Pearson: 0.5213
Fold 2 | Epoch [143/150] | Train Loss: 0.0004 | Val Loss: 0.0129 | R2: 0.2550 | Pearson: 0.5107
Fold 2 | Epoch [144/150] | Train Loss: 0.0005 | Val Loss: 0.0127 | R2: 0.2573 | Pearson: 0.5162
Fold 2 | Epoch [145/150] | Train Loss: 0.0004 | Val Loss: 0.0127 | R2: 0.2699 | Pearson: 0.5252
Fold 2 | Epoch [146/150] | Train Loss: 0.0004 | Val Loss: 0.0128 | R2: 0.2668 | Pearson: 0.5214
Fold 2 | Epoch [147/150] | Train Loss: 0.0005 | Val Loss: 0.0127 | R2: 0.2654 | Pearson: 0.5189
Fold 2 | Epoch [148/150] | Train Loss: 0.0004 | Val Loss: 0.0130 | R2: 0.2528 | Pearson: 0.5064
Fold 2 | Epoch [149/150] | Train Loss: 0.0005 | Val Loss: 0.0127 | R2: 0.2586 | Pearson: 0.5186
Fold 2 | Epoch [150/150] | Train Loss: 0.0004 | Val Loss: 0.0128 | R2: 0.2599 | Pearson: 0.5142
