Fold 4 | Epoch [1/150] | Train Loss: 0.0377 | Val Loss: 0.0168 | R2: 0.0218 | Pearson: 0.2511
Fold 4 | Epoch [117/150] | Train Loss: 0.0004 | Val Loss: 0.0118 | R2: 0.3153 | Pearson: 0.5744
Fold 4 | Epoch [118/150] | Train Loss: 0.0004 | Val Loss: 0.0119 | R2: 0.3081 | Pearson: 0.5838
Fold 4 | Epoch [119/150] | Train Loss: 0.0004 | Val Loss: 0.0115 | R2: 0.3320 | Pearson: 0.5853
Fold 4 | Epoch [120/150] | Train Loss: 0.0004 | Val Loss: 0.0119 | R2: 0.3086 | Pearson: 0.5863
Fold 4 | Epoch [121/150] | Train Loss: 0.0004 | Val Loss: 0.0117 | R2: 0.3165 | Pearson: 0.5764
Fold 4 | Epoch [122/150] | Train Loss: 0.0004 | Val Loss: 0.0114 | R2: 0.3343 | Pearson: 0.5875
Fold 4 | Epoch [123/150] | Train Loss: 0.0005 | Val Loss: 0.0116 | R2: 0.3305 | Pearson: 0.5815
Fold 4 | Epoch [124/150] | Train Loss: 0.0003 | Val Loss: 0.0119 | R2: 0.3113 | Pearson: 0.5725
Fold 4 | Epoch [125/150] | Train Loss: 0.0004 | Val Loss: 0.0117 | R2: 0.3192 | Pearson: 0.5782
Fold 4 | Epoch [126/150] | Train Loss: 0.0004 | Val Loss: 0.0115 | R2: 0.3306 | Pearson: 0.5808
Fold 4 | Epoch [127/150] | Train Loss: 0.0003 | Val Loss: 0.0116 | R2: 0.3259 | Pearson: 0.5818
Fold 4 | Epoch [128/150] | Train Loss: 0.0003 | Val Loss: 0.0116 | R2: 0.3246 | Pearson: 0.5877
Fold 4 | Epoch [129/150] | Train Loss: 0.0004 | Val Loss: 0.0117 | R2: 0.3169 | Pearson: 0.5781
Fold 4 | Epoch [130/150] | Train Loss: 0.0004 | Val Loss: 0.0115 | R2: 0.3298 | Pearson: 0.5838
Fold 4 | Epoch [131/150] | Train Loss: 0.0004 | Val Loss: 0.0117 | R2: 0.3182 | Pearson: 0.5858
Fold 4 | Epoch [132/150] | Train Loss: 0.0004 | Val Loss: 0.0115 | R2: 0.3344 | Pearson: 0.5851
Fold 4 | Epoch [133/150] | Train Loss: 0.0004 | Val Loss: 0.0119 | R2: 0.3122 | Pearson: 0.5754
Fold 4 | Epoch [134/150] | Train Loss: 0.0004 | Val Loss: 0.0117 | R2: 0.3219 | Pearson: 0.5807
Fold 4 | Epoch [135/150] | Train Loss: 0.0004 | Val Loss: 0.0115 | R2: 0.3363 | Pearson: 0.5887
Fold 4 | Epoch [136/150] | Train Loss: 0.0004 | Val Loss: 0.0119 | R2: 0.3090 | Pearson: 0.5724
Fold 4 | Epoch [137/150] | Train Loss: 0.0004 | Val Loss: 0.0117 | R2: 0.3221 | Pearson: 0.5851
Fold 4 | Epoch [138/150] | Train Loss: 0.0005 | Val Loss: 0.0115 | R2: 0.3322 | Pearson: 0.5850
Fold 4 | Epoch [139/150] | Train Loss: 0.0004 | Val Loss: 0.0114 | R2: 0.3364 | Pearson: 0.5848
Fold 4 | Epoch [140/150] | Train Loss: 0.0003 | Val Loss: 0.0116 | R2: 0.3263 | Pearson: 0.5810
Fold 4 | Epoch [141/150] | Train Loss: 0.0004 | Val Loss: 0.0116 | R2: 0.3240 | Pearson: 0.5821
Fold 4 | Epoch [142/150] | Train Loss: 0.0004 | Val Loss: 0.0114 | R2: 0.3365 | Pearson: 0.5866
Fold 4 | Epoch [143/150] | Train Loss: 0.0004 | Val Loss: 0.0115 | R2: 0.3318 | Pearson: 0.5885
Fold 4 | Epoch [144/150] | Train Loss: 0.0004 | Val Loss: 0.0117 | R2: 0.3199 | Pearson: 0.5794
Fold 4 | Epoch [145/150] | Train Loss: 0.0003 | Val Loss: 0.0116 | R2: 0.3247 | Pearson: 0.5830
Fold 4 | Epoch [146/150] | Train Loss: 0.0003 | Val Loss: 0.0116 | R2: 0.3260 | Pearson: 0.5793
Fold 4 | Epoch [147/150] | Train Loss: 0.0003 | Val Loss: 0.0115 | R2: 0.3312 | Pearson: 0.5868
Fold 4 | Epoch [148/150] | Train Loss: 0.0003 | Val Loss: 0.0116 | R2: 0.3263 | Pearson: 0.5812
Fold 4 | Epoch [149/150] | Train Loss: 0.0004 | Val Loss: 0.0116 | R2: 0.3282 | Pearson: 0.5818
Fold 4 | Epoch [150/150] | Train Loss: 0.0003 | Val Loss: 0.0117 | R2: 0.3219 | Pearson: 0.5799
